Company,Website,Growth Stage,Location,Category,One-liner
Treinta,treinta.co,Early,Colombia,Financial Services,Your business at hand
BLING,bling.eu,Early,France,Financial Services,Free cash advance
Yellowclass,yellowclass.com,Early,India,Education,Online Free Hobby Classes for Kids
Retrica,retrica.co,Early,South Korea,Personal Utility,The Original Filter Camera
Gamestry,gamestry.com,Early,Spain,Social/Media,Video game guides created by pro esports players
Nomad,nomadhomes.co,Early,United Arab Emirates,Real Estate,Real Estate Hunter in Dubai
Sweatcoin,sweatcoin.com,Early,United Kingdom,Healthcare,"Healthier planet. Healthier, wealthier you"
Anomalie,dressanomalie.com,Early,United States,Retail,Custom Online Wedding Dresses
Boulder,boulder.care,Early,United States,Healthcare,Telehealth Addiction Treatment On Your Terms
Eterneva,eterneva.com,Early,United States,Retail,Remarkable Memorial Diamonds
GOODCOVER,goodcover.com,Early,United States,Financial Services,"Fair, modern, cooperative renters insurance"
Reframe,reframeapp.com,Early,United States,Healthcare,Build Healthier Drinking Habits
RISE,risescience.com,Early,United States,Healthcare,App tracker for better sleep daily 
YOLO,onyolo.com,Early,United States,Social/Media,What your friends think
Youper,youper.ai,Early,United States,Healthcare,Expert care for anxiety and depression
Facily,faci.ly,Growth,Brazil,Retail,Buy together & pay less
Frank And Oak,frankandoak.com,Growth,Canada,Retail,Inspire Better Living
Houm,houm.com,Growth,Chile,Real Estate,Dream home found easy
StudySmarter,studysmarter.de,Growth,Germany,Education,The learning app for students
TIER,tier.app,Growth,Germany,Other,Changing mobility for good
Pocket FM,pocketfm.com,Growth,India,Social/Media,Lose yourself in the World of Audiobooks
Teachmint,teachmint.com,Growth,India,Education,Digitize your school and become future ready now
BukuWarung,bukuwarung.com,Growth,Indonesia,Workplace,Digital infrastructure for MSMEs in Indonesia
Pinhome,pinhome.id,Growth,Indonesia,Real Estate,Property E-commerce Platform
Xendit,xendit.co,Growth,Indonesia,Workplace,Accept and send payments easily
Kyash,kyash.co,Growth,Japan,Financial Services,Simple payments and money management
Stori,aplica.storicard.com,Growth,Mexico,Financial Services,The credit card with 100% approval
NovaKid,novakidschool.com,Growth,Poland,Education,Online English classes for kids
Class101,class101.net,Growth,South Korea,Education,"All classes in the world, class 101"
Daangn,daangn.com,Growth,South Korea,Retail,Make your neighborhood close and warm
Mathpresso,mathpresso.com,Growth,South Korea,Education,The world's leading personalized learning platform
SNOW,snowcorp.com,Growth,South Korea,Social/Media,Make every moment special
Spoon Radio,company.spoonradio.co,Growth,South Korea,Social/Media,Audio live streaming platform for everyone
Toss,toss.im,Growth,South Korea,Financial Services,All your financial details at a glance
Badi,badi.com,Growth,Spain,Travel,Rent your room
Getir,getir.com,Growth,Turkey,Retail,At Your Door in Minutes
Tide,tide.co,Growth,United Kingdom,Financial Services,Business banking made better
Amino,aminoapps.com,Growth,United States,Social/Media,Communities for every interest
Brain Technologies,brain.ai,Growth,United States,Personal Utility,The future of shopping has arrived
Citizen,citizen.com,Growth,United States,Personal Utility,Where people protect each other
Elemy,elemy.com,Growth,United States,Healthcare,Providing life-changing childhood mental healthcare
Empowerly,empowerly.com,Growth,United States,Education,Navigate your journey to top colleges
EverlyWell,everlywell.com,Growth,United States,Healthcare,Digital healthcare. Designed for you
Fever,feverup.com,Growth,United States,Social/Media,Inspiring people through experiences
SKYDROP,getskydrop.com,Growth,United States,Other,Make delivery instant for everyone
Greenlight,greenlight.com,Growth,United States,Financial Services,The kids’ and teens’ banking app — with investing
Grid,getgrid.app,Growth,United States,Financial Services,Your money your choice - Home
IRL,irl.com,Growth,United States,Social/Media,Do more together
Jerry,getjerry.com,Growth,United States,Financial Services,Easiest way to compare and buy car insurance
Marco Polo,marcopolo.me,Growth,United States,Social/Media,Helping people feel close
Memebox,memebox.com,Growth,United States,Retail,"Asian beauty products, culture, and trends"
Monzo,monzo.com,Growth,United States,Financial Services,Online Banking Made Easy
Pager,pager.com,Growth,United States,Healthcare,Technology for Healthcare Collaboration
Photomath,photomath.com,Growth,United States,Education,World’s most used math app
Scentbird,scentbird.com,Growth,United States,Retail,Monthly Perfume Subscription Box
SimpleHealth,simplehealth.com,Growth,United States,Healthcare,The credit cardwith 100% approval
Stash,stash.com,Growth,United States,Financial Services,Investing made easy.
TOPHATTER,tophatter.com,Growth,United States,Retail,The world's most entertaining live auction site
Weee!,sayweee.com,Growth,United States,Retail,The largest Asian and Hispanic grocier in N. America
Z LEAGUE,zleague.gg,Growth,United States,Social/Media,The world's first skill-based tournament platform
ZeroDown,zerodown.com,Growth,United States,Real Estate,The new way to find homes for sale
Zumper,zumper.com,Growth,United States,Real Estate,"Houses, Condos, and Apartments for Rent"
