Company,Website,Stage,Location (for search),Country/State (for display on card),Category,One-liner
Getir,getir.com,Growth,Middle East,Turkey,Food,At your door in minutes
Toss,toss.im,Growth,Asia,South Korea,Financial Services,All your financial details at a glance
Monzo,monzo.com,Growth,Europe,United Kingdom,Financial Services,Online banking made easy
Weee!,sayweee.com,Growth,North America,California,Food,Asian and Hispanic groceries delivered
Everly Health,everlyhealth.com,Growth,North America,Texas,Healthcare,Digital healthcare designed for you
Xendit,xendit.co,Growth,Asia,Indonesia,Financial Services,Accept and send payments easily
Daangn,daangn.com,Growth,Asia,South Korea,Entertainment & Social,Make your neighborhood close and warm
Momo,momo.vn,Growth,Asia,Vietnam,Financial Services,Vietnam's No.1 Super Payment Application
Stash,stash.com,Growth,North America,New York,Financial Services,Investing made easy
Tier,tier.app,Growth,Europe,Germany,Transportation,Changing mobility for good
IRL,irl.com,Growth,North America,Hawaii,Entertainment & Social,Do more together
Stori,aplica.storicard.com,Growth,North America,Mexico,Financial Services,The credit card with 100% approval
Musically/TikTok,tiktok.com,Growth,Asia,China,Entertainment & Social,"Social music app, now TikTok"
Amino,aminoapps.com,Growth,North America,New York,Entertainment & Social,Communities for every interest
Anomalie,dressanomalie.com,Early,North America,California,Retail,Custom online wedding dresses
Badi,badi.com,Growth,Europe,Spain,Housing,Rent your room
Bling,bling.eu,Early,Europe,France,Financial Services,Free cash advance
Boulder,boulder.care,Early,North America,Oregon,Healthcare,Telehealth addiction treatment on your terms
Brain Technologies,brain.ai,Growth,North America,California,Retail,The future of shopping has arrived
BukuWarung,bukuwarung.com,Growth,Asia,Indonesia,Financial Services,Digital infrastructure for msmes in Indonesia
Care/of,takecareof.com,Growth,North America,New York,Healthcare,Personalized daily vitamin packs
Citizen,citizen.com,Growth,North America,New York,Entertainment & Social,Where people protect each other
Class101,class101.net,Growth,Asia,South Korea,Education,"Unlock your potential in digital drawing, illustration, crafts & more "
Dosh,dosh.com,Growth,North America,Texas,Financial Services,Automatic cash back when you shop and dine
Elemy,elemy.com,Growth,North America,California,Healthcare,Providing life-changing childhood mental healthcare
Empowerly,empowerly.com,Growth,North America,California,Education,Navigate your journey to top colleges
Eterneva,eterneva.com,Early,North America,Texas,Retail,Remarkable memorial diamonds
Facily,faci.ly,Growth,South America,Brazil,Food,Buy together & pay less
Fever,feverup.com,Growth,Europe,United Kingdom,Entertainment & Social,Inspiring people through experiences
Frank And Oak,frankandoak.com,Growth,North America,Canada,Retail,Inspire better living
Gamestry,gamestry.com,Early,Europe,Spain,Entertainment & Social,Video game guides created by pro esports players
Goodcover,goodcover.com,Early,North America,California,Financial Services,"Fair, modern, cooperative renters insurance"
Greenlight,greenlight.com,Growth,North America,Georgia,Financial Services,Debit card for kids and teens
Grid,getgrid.app,Growth,North America,New York,Financial Services,Your money your choice
Houm,houm.com,Growth,South America,Chile,Housing,Dream home found easy
Jerry,getjerry.com,Growth,North America,California,Transportation,Easiest way to compare and buy car insurance
Kyash,kyash.co,Growth,Asia,Japan,Financial Services,Simple payments and money management
Marco Polo,marcopolo.me,Growth,North America,California,Entertainment & Social,Helping people feel close
Mathpresso,mathpresso.com,Growth,Asia,South Korea,Education,The world's leading personalized learning platform
Memebox,memebox.com,Growth,North America,California,Retail,"Asian beauty products, culture, and trends"
Nomad,nomadhomes.co,Early,Middle East,United Arab Emirates,Housing,Real estate hunter in Dubai
NovaKid,novakidschool.com,Growth,North America,California,Education,Online english classes for kids
Pager,pager.com,Growth,North America,New York,Healthcare,Technology for healthcare collaboration
Photomath,photomath.com,Growth,North America,California,Education,World's most used math app
Pinhome,pinhome.id,Growth,Asia,Indonesia,Housing,Property e-commerce platform
Pocket FM,pocketfm.com,Growth,Asia,India,Entertainment & Social,Lose yourself in the world of audiobooks
Reframe,reframeapp.com,Early,North America,Georgia,Healthcare,Build healthier drinking habits
Retrica,retrica.co,Early,Asia,South Korea,Entertainment & Social,The original filter camera
Rise,risescience.com,Early,North America,California,Healthcare,App tracker for better sleep daily
Scentbird,scentbird.com,Growth,North America,New York,Retail,Monthly perfume subscription box
SimpleHealth,simplehealth.com,Growth,North America,New York,Healthcare,Birth control prescriptions online
Skydrop,getskydrop.com,Growth,North America,Nevada,Transportation,Make delivery instant for everyone
Snow,snowcorp.com,Growth,Asia,South Korea,Entertainment & Social,Make every moment special
Spoon Radio,company.spoonradio.co,Growth,Asia,South Korea,Entertainment & Social,Audio live streaming platform for everyone
StudySmarter,studysmarter.de,Growth,Europe,Germany,Education,The learning app for students
Sweatcoin,sweatcoin.com,Early,Europe,United Kingdom,Healthcare,"Healthier planet. Healthier, wealthier you"
Teachmint,teachmint.com,Growth,Asia,India,Education,Digitize your school and become future ready now
Tide,tide.co,Growth,Europe,United Kingdom,Financial Services,Business banking made better
Tophatter,tophatter.com,Growth,North America,California,Retail,The world's most entertaining live auction site
Treinta,treinta.co,Early,South America,Colombia,Financial Services,Your business at hand
Yellowclass,yellowclass.com,Early,Asia,India,Education,Online free hobby classes for kids
