Company,Website,Growth Stage,Location,Category,One-liner
Yellowclass,yellowclass.com,Early,Asia,Education,Online free hobby classes for kids
Teachmint,teachmint.com,Growth,Asia,Education,Digitize your school and become future ready now
Class101,class101.net,Growth,Asia,Education,"All classes in the world, class 101"
Mathpresso,mathpresso.com,Growth,Asia,Education,The world's leading personalized learning platform
StudySmarter,studysmarter.de,Growth,Europe,Education,The learning app for students
NovaKid,novakidschool.com,Growth,Europe,Education,Online english classes for kids
Empowerly,empowerly.com,Growth,North America,Education,Navigate your journey to top colleges
Photomath,photomath.com,Growth,North America,Education,World's most used math app
Retrica,retrica.co,Early,Asia,Entertainment & Social,The original filter camera
Citizen,citizen.com,Growth,North America,Entertainment & Social,Where people protect each other
Daangn,daangn.com,Growth,Asia,Entertainment & Social,Make your neighborhood close and warm
Pocket FM,pocketfm.com,Growth,Asia,Entertainment & Social,Lose yourself in the world of audiobooks
SNOW,snowcorp.com,Growth,Asia,Entertainment & Social,Make every moment special
Spoon Radio,company.spoonradio.co,Growth,Asia,Entertainment & Social,Audio live streaming platform for everyone
Gamestry,gamestry.com,Early,Europe,Entertainment & Social,Video game guides created by pro esports players
YOLO,onyolo.com,Early,North America,Entertainment & Social,What your friends think
Amino,aminoapps.com,Growth,North America,Entertainment & Social,Communities for every interest
Fever,feverup.com,Growth,North America,Entertainment & Social,Inspiring people through experiences
IRL,irl.com,Growth,North America,Entertainment & Social,Do more together
Marco Polo,marcopolo.me,Growth,North America,Entertainment & Social,Helping people feel close
Z LEAGUE,zleague.gg,Growth,North America,Entertainment & Social,The world's first skill-based tournament platform
Brain Technologies,brain.ai,Growth,North America,"Food, Retail",The future of shopping has arrived
Kyash,kyash.co,Growth,Asia,Financial Services,Simple payments and money management
Toss,toss.im,Growth,Asia,Financial Services,All your financial details at a glance
BLING,bling.eu,Early,Europe,Financial Services,Free cash advance
Tide,tide.co,Growth,Europe,Financial Services,Business banking made better
Stori,aplica.storicard.com,Growth,North America,Financial Services,The credit card with 100% approval
GOODCOVER,goodcover.com,Early,North America,Financial Services,"Fair, modern, cooperative renters insurance"
Greenlight,greenlight.com,Growth,North America,Financial Services,Debit card for kids and teens
Grid,getgrid.app,Growth,North America,Financial Services,Your money your choice
Monzo,monzo.com,Growth,North America,Financial Services,Online banking made easy
Stash,stash.com,Growth,North America,Financial Services,Investing made easy
Treinta,treinta.co,Early,South America,Financial Services,Your business at hand
BukuWarung,bukuwarung.com,Growth,Asia,Financial Services,Digital infrastructure for msmes in Indonesia
Xendit,xendit.co,Growth,Asia,Financial Services,Accept and send payments easily
Jerry,getjerry.com,Growth,North America,"Financial Services, Transportation",Easiest way to compare and buy car insurance
Getir,getir.com,Growth,Middle East,Food,At your door in minutes
Weee!,sayweee.com,Growth,North America,"Food, Retail",The largest asian and hispanic grocier in North America
Facily,faci.ly,Growth,South America,"Food, Retail",Buy together & pay less
Sweatcoin,sweatcoin.com,Early,Europe,Healthcare,"Healthier planet. Healthier, wealthier you"
Boulder,boulder.care,Early,North America,Healthcare,Telehealth addiction treatment on your terms
Reframe,reframeapp.com,Early,North America,Healthcare,Build healthier drinking habits
RISE,risescience.com,Early,North America,Healthcare,App tracker for better sleep daily 
Youper,youper.ai,Early,North America,Healthcare,Expert care for anxiety and depression
Elemy,elemy.com,Growth,North America,Healthcare,Providing life-changing childhood mental healthcare
EverlyWell,everlywell.com,Growth,North America,Healthcare,Digital healthcare designed for you
Pager,pager.com,Growth,North America,Healthcare,Technology for healthcare collaboration
SimpleHealth,simplehealth.com,Growth,North America,Healthcare,The credit card with 100% approval
Pinhome,pinhome.id,Growth,Asia,Housing,Property e-commerce platform
Nomad,nomadhomes.co,Early,Middle East,Housing,Real estate hunter in Dubai
ZeroDown,zerodown.com,Growth,North America,Housing,The new way to find homes for sale
Zumper,zumper.com,Growth,North America,Housing,"Houses, condos, and apartments for rent"
Houm,houm.com,Growth,South America,Housing,Dream home found easy
Badi,badi.com,Growth,Europe,Housing,Rent your room
Frank And Oak,frankandoak.com,Growth,North America,Retail,Inspire better living
Anomalie,dressanomalie.com,Early,North America,Retail,Custom online wedding dresses
Eterneva,eterneva.com,Early,North America,Retail,Remarkable memorial diamonds
Memebox,memebox.com,Growth,North America,Retail,"Asian beauty products, culture, and trends"
Scentbird,scentbird.com,Growth,North America,Retail,Monthly perfume subscription box
TOPHATTER,tophatter.com,Growth,North America,Retail,The world's most entertaining live auction site
TIER,tier.app,Growth,Europe,Transportation,Changing mobility for good
SKYDROP,getskydrop.com,Growth,North America,Transportation,Make delivery instant for everyone
