Company,Website,Stage,Location (for search),Country/State (for display on card),Category,One-liner
Musically/TikTok,tiktok.com,Growth,Asia,China,Entertainment & Social,Exciting and spontaneous short-form videos
Teachmint,teachmint.com,Growth,Asia,India,Education,Digitize your school and become future ready now
Pocket FM,pocketfm.com,Growth,Asia,India,Entertainment & Social,Lose yourself in the world of audiobooks
Yellowclass,yellowclass.com,Early,Asia,India,Education,Online free hobby classes for kids
BukuWarung,bukuwarung.com,Growth,Asia,Indonesia,Financial Services,Digital infrastructure for msmes in Indonesia
Xendit,xendit.co,Growth,Asia,Indonesia,Financial Services,Accept and send payments easily
Pinhome,pinhome.id,Growth,Asia,Indonesia,Housing,Property e-commerce platform
Kyash,kyash.co,Growth,Asia,Japan,Financial Services,Simple payments and money management
Retrica,retrica.co,Early,Asia,South Korea,Entertainment & Social,The original filter camera
Class101,class101.net,Growth,Asia,South Korea,Education,"All classes in the world, class 101"
Mathpresso,mathpresso.com,Growth,Asia,South Korea,Education,The world's leading personalized learning platform
Daangn,daangn.com,Growth,Asia,South Korea,Entertainment & Social,Make your neighborhood close and warm
Snow,snowcorp.com,Growth,Asia,South Korea,Entertainment & Social,Make every moment special
Spoon Radio,company.spoonradio.co,Growth,Asia,South Korea,Entertainment & Social,Audio live streaming platform for everyone
Toss,toss.im,Growth,Asia,South Korea,Financial Services,All your financial details at a glance
Momo,momo.vn,Growth,Asia,Vietnam,Financial Services,Vietnam's No.1 Super Payment Application
Bling,bling.eu,Early,Europe,France,Financial Services,Free cash advance
StudySmarter,studysmarter.de,Growth,Europe,Germany,Education,The learning app for students
Tier,tier.app,Growth,Europe,Germany,Transportation,Changing mobility for good
Gamestry,gamestry.com,Early,Europe,Spain,Entertainment & Social,Video game guides created by pro esports players
Badi,badi.com,Growth,Europe,Spain,Housing,Rent your room
Tide,tide.co,Growth,Europe,United Kingdom,Financial Services,Business banking made better
Monzo,monzo.com,Growth,Europe,United Kingdom,Financial Services,Online banking made easy
Sweatcoin,sweatcoin.com,Early,Europe,United Kingdom,Healthcare,"Healthier planet. Healthier, wealthier you"
Getir,getir.com,Growth,Middle East,Turkey,Food,At your door in minutes
Nomad,nomadhomes.co,Early,Middle East,United Arab Emirates,Housing,Real estate hunter in Dubai
Skydrop,getskydrop.com,Growth,North America,"Reno, NV",Transportation,Make delivery instant for everyone
Greenlight,greenlight.com,Growth,North America,"Atlanta, GA",Financial Services,Debit card for kids and teens
Reframe,reframeapp.com,Early,North America,"Atlanta, GA",Healthcare,Build healthier drinking habits
Eterneva,eterneva.com,Early,North America,"Austin, TX",Retail,Remarkable memorial diamonds
Everly Health,everlyhealth.com,Growth,North America,"Austin, TX",Healthcare,Digital healthcare designed for you
Dosh,dosh.com,Growth,North America,"Austin, TX",Financial Services,Automatic cash back when you shop and dine
Citizen,citizen.com,Growth,North America,"New York, NY",Entertainment & Social,Where people protect each other
Frank And Oak,frankandoak.com,Growth,North America,Canada,Retail,Inspire better living
Weee!,sayweee.com,Growth,North America,"Fremont, CA",Food,Asian and Hispanic groceries delivered
Yolo,onyolo.com,Early,North America,"Los Angeles, CA",Entertainment & Social,What your friends think
Z League,zleague.gg,Growth,North America,"Seattle, WA",Entertainment & Social,The world's first skill-based tournament platform
Stori,aplica.storicard.com,Growth,North America,Mexico,Financial Services,The credit card with 100% approval
Elemy,elemy.com,Growth,North America,"San Francisco, CA",Healthcare,Providing life-changing childhood mental healthcare
Scentbird,scentbird.com,Growth,North America,"New York, NY",Retail,Monthly perfume subscription box
Amino,aminoapps.com,Growth,North America,"New York, NY",Entertainment & Social,Communities for every interest
Fever,feverup.com,Growth,North America,"New York, NY",Entertainment & Social,Inspiring people through experiences
Grid,getgrid.app,Growth,North America,"New York, NY",Financial Services,Your money your choice
Stash,stash.com,Growth,North America,"New York, NY",Financial Services,Investing made easy
Pager,pager.com,Growth,North America,"New York, NY",Healthcare,Technology for healthcare collaboration
SimpleHealth,simplehealth.com,Growth,North America,"New York, NY",Healthcare,The credit card with 100% approval
Care/of,takecareof.com,Growth,North America,"New York, NY",Healthcare,Personalized daily vitamin packs
Jerry,getjerry.com,Growth,North America,"Palo Alto, CA",Transportation,Easiest way to compare and buy car insurance
Boulder,boulder.care,Early,North America,"Portland, OR",Healthcare,Telehealth addiction treatment on your terms
NovaKid,novakidschool.com,Growth,North America,"San Francisco, CA",Education,Online english classes for kids
Empowerly,empowerly.com,Growth,North America,"San Francisco, CA",Education,Navigate your journey to top colleges
IRL,irl.com,Growth,North America,"San Francisco, CA",Entertainment & Social,Do more together
Marco Polo,marcopolo.me,Growth,North America,"San Francisco, CA",Entertainment & Social,Helping people feel close
Youper,youper.ai,Early,North America,"San Francisco, CA",Healthcare,Expert care for anxiety and depression
ZeroDown,zerodown.com,Growth,North America,"San Francisco, CA",Housing,The new way to find homes for sale
Zumper,zumper.com,Growth,North America,"San Francisco, CA",Housing,"Houses, condos, and apartments for rent"
Anomalie,dressanomalie.com,Early,North America,"San Francisco, CA",Retail,Custom online wedding dresses
Goodcover,goodcover.com,Early,North America,"San Francisco, CA",Financial Services,"Fair, modern, cooperative renters insurance"
Rise,risescience.com,Early,North America,"San Francisco, CA",Healthcare,App tracker for better sleep daily 
Memebox,memebox.com,Growth,North America,"San Francisco, CA",Retail,"Asian beauty products, culture, and trends"
Tophatter,tophatter.com,Growth,North America,"San Francisco, CA",Retail,The world's most entertaining live auction site
Photomath,photomath.com,Growth,North America,"San Mateo, CA",Education,World's most used math app
Brain Technologies,brain.ai,Growth,North America,"San Mateo, CA",Retail,The future of shopping has arrived
Facily,faci.ly,Growth,South America,Brazil,Food,Buy together & pay less
Houm,houm.com,Growth,South America,Chile,Housing,Dream home found easy
Treinta,treinta.co,Early,South America,Colombia,Financial Services,Your business at hand
